day,month,year,apn,drafted
1,Feb,1970,335,N
1,Mar,1970,14,Y
1,Apr,1970,224,N
1,May,1970,179,N
1,Jun,1970,65,Y
1,Jul,1970,104,Y
1,Aug,1970,326,N
1,Sep,1970,283,N
1,Oct,1970,306,N
1,Nov,1970,243,N
1,Dec,1970,347,N
2,Jan,1970,195,N
2,Feb,1970,354,N
2,Mar,1970,77,Y
2,Apr,1970,216,N
2,May,1970,96,Y
2,Jun,1970,304,N
2,Jul,1970,322,N
2,Aug,1970,102,Y
2,Sep,1970,161,N
2,Oct,1970,191,N
2,Nov,1970,205,N
2,Dec,1970,321,N
3,Jan,1970,336,N
3,Feb,1970,186,N
3,Mar,1970,207,N
3,Apr,1970,297,N
3,May,1970,171,N
3,Jun,1970,135,N
3,Jul,1970,30,Y
3,Aug,1970,279,N
3,Sep,1970,183,N
3,Oct,1970,134,N
3,Nov,1970,294,N
3,Dec,1970,110,Y
4,Jan,1970,99,Y
4,Feb,1970,94,Y
4,Mar,1970,117,Y
4,Apr,1970,37,Y
4,May,1970,240,N
4,Jun,1970,42,Y
4,Jul,1970,59,Y
4,Aug,1970,300,N
4,Sep,1970,231,N
4,Oct,1970,266,N
4,Nov,1970,39,Y
4,Dec,1970,305,N
5,Jan,1970,33,Y
5,Feb,1970,97,Y
5,Mar,1970,299,N
5,Apr,1970,124,Y
5,May,1970,301,N
5,Jun,1970,233,N
5,Jul,1970,287,N
5,Aug,1970,64,Y
5,Sep,1970,295,N
5,Oct,1970,166,N
5,Nov,1970,286,N
5,Dec,1970,27,Y
6,Jan,1970,285,N
6,Feb,1970,16,Y
6,Mar,1970,296,N
6,Apr,1970,312,N
6,May,1970,268,N
6,Jun,1970,153,N
6,Jul,1970,164,N
6,Aug,1970,251,N
6,Sep,1970,21,Y
6,Oct,1970,78,Y
6,Nov,1970,245,N
6,Dec,1970,198,N
7,Jan,1970,159,N
7,Feb,1970,25,Y
7,Mar,1970,141,N
7,Apr,1970,142,N
7,May,1970,29,Y
7,Jun,1970,169,N
7,Jul,1970,365,N
7,Aug,1970,263,N
7,Sep,1970,265,N
7,Oct,1970,131,N
7,Nov,1970,72,Y
7,Dec,1970,162,N
8,Jan,1970,116,Y
8,Feb,1970,127,N
8,Mar,1970,79,Y
8,Apr,1970,267,N
8,May,1970,105,Y
8,Jun,1970,7,Y
8,Jul,1970,106,Y
8,Aug,1970,49,Y
8,Sep,1970,108,Y
8,Oct,1970,45,Y
8,Nov,1970,119,Y
8,Dec,1970,323,N
9,Jan,1970,53,Y
9,Feb,1970,187,N
9,Mar,1970,278,N
9,Apr,1970,223,N
9,May,1970,357,N
9,Jun,1970,352,N
9,Jul,1970,1,Y
