day,month,year,apn,drafted
9,Aug,1970,125,Y
9,Sep,1970,313,N
9,Oct,1970,302,N
9,Nov,1970,176,N
9,Dec,1970,114,Y
10,Jan,1970,101,Y
10,Feb,1970,46,Y
10,Mar,1970,150,N
10,Apr,1970,165,N
10,May,1970,146,N
10,Jun,1970,76,Y
10,Jul,1970,158,N
10,Aug,1970,359,N
10,Sep,1970,130,N
10,Oct,1970,160,N
10,Nov,1970,63,Y
10,Dec,1970,204,N
11,Jan,1970,144,N
11,Feb,1970,227,N
11,Mar,1970,317,N
11,Apr,1970,178,N
11,May,1970,293,N
11,Jun,1970,355,N
11,Jul,1970,174,N
11,Aug,1970,230,N
11,Sep,1970,288,N
11,Oct,1970,84,Y
11,Nov,1970,123,Y
11,Dec,1970,73,Y
12,Jan,1970,152,N
12,Feb,1970,262,N
12,Mar,1970,24,Y
12,Apr,1970,89,Y
12,May,1970,210,N
12,Jun,1970,51,Y
12,Jul,1970,257,N
12,Aug,1970,320,N
12,Sep,1970,314,N
12,Oct,1970,70,Y
12,Nov,1970,255,N
12,Dec,1970,19,Y
13,Jan,1970,330,N
13,Feb,1970,13,Y
13,Mar,1970,241,N
13,Apr,1970,143,N
13,May,1970,353,N
13,Jun,1970,342,N
13,Jul,1970,349,N
13,Aug,1970,58,Y
13,Sep,1970,238,N
13,Oct,1970,92,Y
13,Nov,1970,272,N
13,Dec,1970,151,N
14,Jan,1970,71,Y
14,Feb,1970,260,N
14,Mar,1970,12,Y
14,Apr,1970,202,N
14,May,1970,40,Y
14,Jun,1970,363,N
14,Jul,1970,156,N
14,Aug,1970,103,Y
14,Sep,1970,247,N
14,Oct,1970,115,Y
14,Nov,1970,11,Y
14,Dec,1970,348,N
15,Jan,1970,75,Y
15,Feb,1970,201,N
15,Mar,1970,157,N
15,Apr,1970,182,N
15,May,1970,344,N
15,Jun,1970,276,N
15,Jul,1970,273,N
15,Aug,1970,270,N
15,Sep,1970,291,N
15,Oct,1970,310,N
15,Nov,1970,362,N
15,Dec,1970,87,Y
16,Jan,1970,136,N
16,Feb,1970,334,N
16,Mar,1970,258,N
16,Apr,1970,31,Y
16,May,1970,175,N
16,Jun,1970,229,N
16,Jul,1970,284,N
16,Aug,1970,329,N
16,Sep,1970,139,N
16,Oct,1970,34,Y
16,Nov,1970,197,N
16,Dec,1970,41,Y
17,Jan,1970,54,Y
17,Feb,1970,345,N
17,Mar,1970,220,N
17,Apr,1970,264,N
17,May,1970,212,N
17,Jun,1970,289,N
17,Jul,1970,341,N
17,Aug,1970,343,N
17,Sep,1970,200,N
17,Oct,1970,290,N
17,Nov,1970,6,Y
17,Dec,1970,315,N
18,Jan,1970,185,N
18,Feb,1970,337,N
18,Mar,1970,319,N
18,Apr,1970,138,N
18,May,1970,180,N
18,Jun,1970,214,N
18,Jul,1970,90,Y
18,Aug,1970,109,Y
18,Sep,1970,333,N
18,Oct,1970,340,N
18,Nov,1970,280,N
18,Dec,1970,208,N
19,Jan,1970,188,N
19,Feb,1970,331,N
19,Mar,1970,189,N
19,Apr,1970,62,Y
19,May,1970,155,N
19,Jun,1970,163,N
19,Jul,1970,316,N
19,Aug,1970,83,Y
19,Sep,1970,228,N
19,Oct,1970,74,Y
19,Nov,1970,252,N
19,Dec,1970,249,N
20,Jan,1970,211,N
20,Feb,1970,20,Y
20,Mar,1970,170,N
20,Apr,1970,118,Y
20,May,1970,242,N
20,Jun,1970,43,Y
20,Jul,1970,120,Y
20,Aug,1970,69,Y
20,Sep,1970,261,N
20,Oct,1970,196,N
20,Nov,1970,98,Y
20,Dec,1970,218,N
21,Jan,1970,129,N
21,Feb,1970,213,N
21,Mar,1970,246,N
21,Apr,1970,8,Y
21,May,1970,225,N
21,Jun,1970,113,Y
21,Jul,1970,356,N
21,Aug,1970,50,Y
21,Sep,1970,68,Y
21,Oct,1970,5,Y
21,Nov,1970,35,Y
21,Dec,1970,181,N
22,Jan,1970,132,N
22,Feb,1970,271,N
22,Mar,1970,269,N
22,Apr,1970,256,N
22,May,1970,199,N
22,Jun,1970,307,N
22,Jul,1970,282,N
22,Aug,1970,250,N
22,Sep,1970,88,Y
22,Oct,1970,36,Y
22,Nov,1970,253,N
22,Dec,1970,194,N
23,Jan,1970,48,Y
23,Feb,1970,351,N
23,Mar,1970,281,N
23,Apr,1970,292,N
23,May,1970,222,N
23,Jun,1970,44,Y
23,Jul,1970,172,N
23,Aug,1970,10,Y
23,Sep,1970,206,N
23,Oct,1970,339,N
23,Nov,1970,193,N
23,Dec,1970,219,N
24,Jan,1970,177,N
24,Feb,1970,226,N
24,Mar,1970,203,N
24,Apr,1970,244,N
24,May,1970,22,Y
24,Jun,1970,236,N
24,Jul,1970,360,N
24,Aug,1970,274,N
24,Sep,1970,237,N
24,Oct,1970,149,N
24,Nov,1970,81,Y
24,Dec,1970,2,Y
25,Jan,1970,57,Y
25,Feb,1970,325,N
25,Mar,1970,298,N
25,Apr,1970,328,N
25,May,1970,26,Y
25,Jun,1970,327,N
25,Jul,1970,3,Y
25,Aug,1970,364,N
25,Sep,1970,107,Y
25,Oct,1970,17,Y
25,Nov,1970,23,Y
25,Dec,1970,361,N
26,Jan,1970,140,N
26,Feb,1970,86,Y
26,Mar,1970,121,Y
26,Apr,1970,137,N
26,May,1970,148,N
26,Jun,1970,308,N
26,Jul,1970,47,Y
26,Aug,1970,91,Y
26,Sep,1970,93,Y
26,Oct,1970,184,N
26,Nov,1970,52,Y
26,Dec,1970,80,Y
27,Jan,1970,173,N
27,Feb,1970,66,Y
27,Mar,1970,254,N
27,Apr,1970,235,N
27,May,1970,122,Y
27,Jun,1970,55,Y
27,Jul,1970,85,Y
27,Aug,1970,232,N
27,Sep,1970,338,N
27,Oct,1970,318,N
27,Nov,1970,168,N
27,Dec,1970,239,N
28,Jan,1970,346,N
28,Feb,1970,234,N
28,Mar,1970,95,Y
28,Apr,1970,82,Y
28,May,1970,9,Y
28,Jun,1970,215,N
28,Jul,1970,190,N
28,Aug,1970,248,N
28,Sep,1970,309,N
28,Oct,1970,28,Y
28,Nov,1970,324,N
28,Dec,1970,128,N
29,Jan,1970,277,N
29,Mar,1970,147,N
29,Apr,1970,111,Y
29,May,1970,61,Y
29,Jun,1970,154,N
29,Jul,1970,4,Y
29,Aug,1970,32,Y
29,Sep,1970,303,N
29,Oct,1970,259,N
29,Nov,1970,100,Y
29,Dec,1970,145,N
30,Jan,1970,112,Y
30,Mar,1970,56,Y
30,Apr,1970,358,N
30,May,1970,209,N
30,Jun,1970,217,N
30,Jul,1970,15,Y
30,Aug,1970,167,N
30,Sep,1970,18,Y
30,Oct,1970,332,N
30,Nov,1970,67,Y
30,Dec,1970,192,N
31,Jan,1970,60,Y
31,Mar,1970,38,Y
31,May,1970,350,N
31,Jul,1970,221,N
31,Aug,1970,275,N
31,Oct,1970,311,N
31,Dec,1970,126,N
