day,month,year,apn,drafted
18,May,1970,278,N
18,Jun,1970,341,N
18,Jul,1970,190,Y
18,Aug,1970,141,Y
18,Sep,1970,246,N
18,Oct,1970,5,Y
18,Nov,1970,146,Y
18,Dec,1970,128,Y
19,Jan,1970,58,Y
19,Feb,1970,25,Y
19,Mar,1970,200,N
19,Apr,1970,336,N
19,May,1970,75,Y
19,Jun,1970,104,Y
19,Jul,1970,227,N
19,Aug,1970,311,N
19,Sep,1970,177,Y
19,Oct,1970,241,N
19,Nov,1970,203,N
19,Dec,1970,240,N
20,Jan,1970,280,N
20,Feb,1970,302,N
20,Mar,1970,239,N
20,Apr,1970,345,N
20,May,1970,183,Y
20,Jun,1970,360,N
20,Jul,1970,187,Y
20,Aug,1970,344,N
20,Sep,1970,63,Y
20,Oct,1970,192,Y
20,Nov,1970,185,Y
20,Dec,1970,135,Y
21,Jan,1970,186,Y
21,Feb,1970,363,N
21,Mar,1970,334,N
21,Apr,1970,62,Y
21,May,1970,250,N
21,Jun,1970,60,Y
21,Jul,1970,27,Y
21,Aug,1970,291,N
21,Sep,1970,204,N
21,Oct,1970,243,N
21,Nov,1970,156,Y
21,Dec,1970,70,Y
22,Jan,1970,337,N
22,Feb,1970,290,N
22,Mar,1970,265,N
22,Apr,1970,316,N
22,May,1970,326,N
22,Jun,1970,247,N
22,Jul,1970,153,Y
22,Aug,1970,339,N
22,Sep,1970,160,Y
22,Oct,1970,117,Y
22,Nov,1970,9,Y
22,Dec,1970,53,Y
23,Jan,1970,118,Y
23,Feb,1970,57,Y
23,Mar,1970,256,N
23,Apr,1970,252,N
23,May,1970,319,N
23,Jun,1970,109,Y
23,Jul,1970,172,Y
23,Aug,1970,116,Y
23,Sep,1970,119,Y
23,Oct,1970,201,N
23,Nov,1970,182,Y
23,Dec,1970,162,Y
24,Jan,1970,59,Y
24,Feb,1970,236,N
24,Mar,1970,258,N
24,Apr,1970,2,Y
24,May,1970,31,Y
24,Jun,1970,358,N
24,Jul,1970,23,Y
24,Aug,1970,36,Y
24,Sep,1970,195,Y
24,Oct,1970,196,N
24,Nov,1970,230,N
24,Dec,1970,95,Y
25,Jan,1970,52,Y
25,Feb,1970,179,Y
25,Mar,1970,343,N
25,Apr,1970,351,N
25,May,1970,361,N
25,Jun,1970,137,Y
25,Jul,1970,67,Y
25,Aug,1970,286,N
25,Sep,1970,149,Y
25,Oct,1970,176,Y
25,Nov,1970,132,Y
25,Dec,1970,84,Y
26,Jan,1970,92,Y
26,Feb,1970,365,N
26,Mar,1970,170,Y
26,Apr,1970,340,N
26,May,1970,357,N
26,Jun,1970,22,Y
26,Jul,1970,303,N
26,Aug,1970,245,N
26,Sep,1970,18,Y
26,Oct,1970,7,Y
26,Nov,1970,309,N
26,Dec,1970,173,Y
27,Jan,1970,355,N
27,Feb,1970,205,N
27,Mar,1970,268,N
27,Apr,1970,74,Y
27,May,1970,296,N
27,Jun,1970,64,Y
27,Jul,1970,289,N
27,Aug,1970,352,N
27,Sep,1970,233,N
27,Oct,1970,264,N
27,Nov,1970,47,Y
27,Dec,1970,78,Y
28,Jan,1970,77,Y
28,Feb,1970,299,N
28,Mar,1970,223,N
28,Apr,1970,262,N
28,May,1970,308,N
28,Jun,1970,222,N
28,Jul,1970,88,Y
28,Aug,1970,167,Y
28,Sep,1970,257,N
28,Oct,1970,94,Y
28,Nov,1970,281,N
28,Dec,1970,123,Y
29,Jan,1970,349,N
29,Feb,1970,285,N
29,Mar,1970,362,N
29,Apr,1970,191,Y
29,May,1970,226,N
29,Jun,1970,353,N
29,Jul,1970,270,N
29,Aug,1970,61,Y
29,Sep,1970,151,Y
29,Oct,1970,229,N
29,Nov,1970,99,Y
29,Dec,1970,16,Y
30,Jan,1970,164,Y
30,Mar,1970,217,N
30,Apr,1970,208,N
30,May,1970,103,Y
30,Jun,1970,209,N
30,Jul,1970,287,N
30,Aug,1970,333,N
30,Sep,1970,315,N
30,Oct,1970,38,Y
30,Nov,1970,174,Y
30,Dec,1970,3,Y
31,Jan,1970,211,N
31,Mar,1970,30,Y
31,May,1970,313,N
31,Jul,1970,193,Y
31,Aug,1970,11,Y
31,Oct,1970,79,Y
31,Dec,1970,100,Y
